Core genome analysis
--------------------

Parameters:
Min % identity: 70
Min % alignment: 50
BLASTN word size: 20
Core threshold (percentage of isolates that contain locus): 90%

Locus	Sequence length	Genome position	Isolate frequency	Isolate percentage	Core
NMC0392	204	407801	17	51.5	-
NMC0393	402	408109	1	3.0	-
NMC0394	837	408820	29	87.9	-
NMC0395	1293	409708	21	63.6	-
NMC0396	1911	411056	24	72.7	-
NMC0397	1176	413014	31	93.9	Y
NMC0398	687	414660	2	6.1	-
NMC0399	1579	415333	12	36.4	-
NMC0400	1173	416904	25	75.8	-
NMC0401	1084	418090	18	54.5	-
NMC0402	1428	419170	12	36.4	-
NMC0403	1110	420792	28	84.8	-
NMC0404	465	421934	13	39.4	-
NMC0405	843	422427	33	100.0	Y
NMC0406	1080	424559	30	90.9	Y
NMC0407	516	425718	20	60.6	-
NMC0408	1771	427192	11	33.3	-
NMC0409	546	428981	12	36.4	-
NMC0410	648	429544	12	36.4	-
NMC0411	600	430192	11	33.3	-
NMC0412	1116	430794	12	36.4	-
NMC0414	2397	432061	23	69.7	-
NMC0415	630	434578	24	72.7	-
NMC0416	624	435413	18	54.5	-
NMC0417	2016	436250	24	72.7	-
NMC0418	1188	438258	33	100.0	Y
NMC0419	1065	439561	30	90.9	Y
NMC0421	897	440669	31	93.9	Y
NMC0422	1170	441911	33	100.0	Y
NMC0423	652	443572	19	57.6	-
NMC0425	1410	444299	12	36.4	-
NMC0426	567	445873	21	63.6	-
NMC0427	1317	447005	2	6.1	-
NMC0428	147	448529	11	33.3	-
NMC0429	1251	448715	11	33.3	-
NMC0430	1494	449999	33	100.0	Y
NMC0431	282	451681	17	51.5	-
NMC0432	444	451983	29	87.9	-
NMC0433	2043	452512	33	100.0	Y
NMC0434	1044	455710	27	81.8	-
NMC0435	282	456750	3	9.1	-
NMC0436	1156	457285	2	6.1	-
NMC0437	240	458437	4	12.1	-
NMC0438	354	458669	1	3.0	-
NMC0439	779	459083	3	9.1	-
NMC0440	303	460170	2	6.1	-
NMC0441	171	460487	2	6.1	-
NMC0443	1743	461056	4	12.1	-
NMC0444	6081	462907	0	0.0	-
NMC0445	510	468994	1	3.0	-
NMC0446	2109	469545	1	3.0	-
NMC0447	375	471672	1	3.0	-
NMC0448	1503	472359	1	3.0	-
NMC0449	264	473880	3	9.1	-
NMC0450	2388	474250	0	0.0	-
NMC0451	384	476642	1	3.0	-
NMC0452	2502	477275	3	9.1	-
NMC0453	489	479773	4	12.1	-
NMC0454	273	480449	3	9.1	-
NMC0456	969	480925	2	6.1	-
NMC0457	936	481896	5	15.2	-
NMC0458	279	483601	1	3.0	-
NMC0459	459	484162	2	6.1	-
NMC0462	1227	485133	15	45.5	-
NMC0464	660	486904	32	97.0	Y
NMC0465	516	487591	19	57.6	-
NMC0466	423	488113	32	97.0	Y
NMC0467	372	488804	18	54.5	-
NMC0468	639	489172	31	93.9	Y
NMC0469	1086	490450	32	97.0	Y
NMC0470	1521	491592	23	69.7	-
NMC0471	1500	493312	30	90.9	Y
NMC0472	630	494949	26	78.8	-
NMC0473	429	495624	14	42.4	-
NMC0474	1224	496627	22	66.7	-
NMC0475	1380	498141	26	78.8	-
NMC0476	825	499649	32	97.0	Y
NMC0477	516	500475	32	97.0	Y
NMC0478	936	501109	32	97.0	Y
NMC0479	1194	502447	32	97.0	Y
NMC0480	498	503722	12	36.4	-
NMC0481	204	504335	12	36.4	-
NMC0482	1587	504706	28	84.8	-
NMC0483	723	506561	13	39.4	-
NMC0484	3486	507533	29	87.9	-
NMC0486	1047	511369	28	84.8	-
NMC0487	390	512699	12	36.4	-
NMC0488	1179	513314	24	72.7	-
NMC0489	1935	514558	33	100.0	Y
NMC0490	843	516795	29	87.9	-
NMC0491	2190	517734	32	97.0	Y
NMC0493	1113	519970	20	60.6	-
NMC0494	957	521091	10	30.3	-
NMC0495	1929	523485	33	100.0	Y
NMC0496	273	525621	11	33.3	-
NMC0497	687	526079	16	48.5	-
NMC0498	339	526897	26	78.8	-
NMC0499	465	527395	12	36.4	-
NMC0500	1512	527894	30	90.9	Y
NMC0501	819	529762	30	90.9	Y
NMC0502	579	530764	31	93.9	Y
NMC0503	216	531466	22	66.7	-
NMC0504	1077	531707	18	54.5	-
NMC0505	1218	532914	26	78.8	-
NMC0506	594	534145	26	78.8	-
NMC0507	627	534742	26	78.8	-
NMC0508	777	535368	23	69.7	-
NMC0509	1233	536137	26	78.8	-
NMC0510	1344	537372	26	78.8	-
NMC0512	1440	539063	26	78.8	-
NMC0513	360	540842	17	51.5	-
NMC0514	606	541198	18	54.5	-
NMC0515	483	541850	23	69.7	-
NMC0516	1107	542838	28	84.8	-
NMC0517	387	544107	24	72.7	-
NMC0518	1248	544645	26	78.8	-
NMC0519	573	546168	16	48.5	-
NMC0520	1086	546743	22	66.7	-
NMC0521	621	547886	19	57.6	-
NMC0522	495	548723	19	57.6	-
NMC0523	1662	549351	33	100.0	Y
NMC0524	543	551142	13	39.4	-
NMC0525	654	552629	18	54.5	-
NMC0526	816	553888	3	9.1	-
NMC0527	6090	554720	0	0.0	-
NMC0528	915	561089	29	87.9	-
NMC0529	876	562080	20	60.6	-
NMC0530	756	562979	20	60.6	-
NMC0531	366	564026	31	93.9	Y
NMC0532	750	564407	30	90.9	Y
NMC0533	510	565156	27	81.8	-
NMC0534	246	565681	30	90.9	Y
NMC0535	2427	565971	13	39.4	-
NMC0536	1407	568515	30	90.9	Y
NMC0537	678	569934	28	84.8	-
NMC0539	1815	570801	12	36.4	-
NMC0540	354	572605	17	51.5	-
NMC0541	609	572967	12	36.4	-
NMC0542	771	573628	29	87.9	-
NMC0543	687	574412	15	45.5	-
NMC0545	324	575352	24	72.7	-
NMC0546	324	575747	19	57.6	-
NMC0547	1065	576211	25	75.8	-
NMC0548	1110	577638	14	42.4	-
NMC0549	267	578875	18	54.5	-
NMC0550	1857	579350	33	100.0	Y
NMC0551	936	581210	31	93.9	Y
NMC0552	270	582368	33	100.0	Y
NMC0553	1125	583019	33	100.0	Y
NMC0554	966	584159	28	84.8	-
NMC0555	888	585124	28	84.8	-
NMC0556	1296	586137	15	45.5	-
NMC0557	1305	587677	8	24.2	-
NMC0558	396	590199	26	78.8	-
NMC0559	252	590913	16	48.5	-
NMC0560	1260	591470	33	100.0	Y
NMC0561	2385	592949	33	100.0	Y
NMC0562	822	595744	23	69.7	-
NMC0563	663	596804	20	60.6	-
NMC0565	855	597479	24	72.7	-
NMC0566	624	598734	29	87.9	-
NMC0567	1161	599609	32	97.0	Y
NMC0568	1180	600903	9	27.3	-
NMC0569	531	602123	20	60.6	-
NMC0570	1596	602822	33	100.0	Y
NMC0571	396	604524	28	84.8	-
NMC0572	768	604950	31	93.9	Y
NMC0573	738	605730	29	87.9	-
NMC0574	639	606500	24	72.7	-
NMC0575	1635	607269	32	97.0	Y
NMC0576	1059	608956	12	36.4	-
NMC0577	1536	610035	12	36.4	-
NMC0578	996	611620	12	36.4	-
NMC0579	471	612866	12	36.4	-
NMC0580	1377	613394	33	100.0	Y
NMC0581	870	614789	30	90.9	Y
NMC0582	600	615686	24	72.7	-
NMC0583	234	616278	13	39.4	-
NMC0584	582	616619	33	100.0	Y
NMC0585	459	617253	18	54.5	-
NMC0586	1827	618156	3	9.1	-
NMC0587	465	619985	10	30.3	-
NMC0588	189	620475	11	33.3	-
NMC0589	288	620832	10	30.3	-
NMC0590	1152	621254	4	12.1	-
NMC0591	423	622433	10	30.3	-
NMC0592	243	623013	3	9.1	-
NMC0593	246	623333	3	9.1	-
NMC0594	387	623581	5	15.2	-
NMC0595	390	624068	5	15.2	-
NMC0596	942	624579	14	42.4	-
NMC0597	1269	625524	12	36.4	-
NMC0598	318	626795	1	3.0	-
NMC0599	678	627246	13	39.4	-
NMC0600	378	627929	9	27.3	-
NMC0601	669	628437	13	39.4	-
NMC0602	273	629109	8	24.2	-
NMC0603	153	629363	6	18.2	-
NMC0604	546	629502	7	21.2	-
NMC0605	624	630041	10	30.3	-
NMC0606	180	630897	4	12.1	-
NMC0607	402	631107	9	27.3	-
NMC0608	390	631690	2	6.1	-
NMC0609	1458	632120	25	75.8	-
NMC0610	891	633592	24	72.7	-
NMC0611	390	634500	25	75.8	-
NMC0612	525	635025	10	30.3	-
NMC0613	1200	636136	31	93.9	Y
NMC0614	2526	637368	27	81.8	-
NMC0615	1287	640041	21	63.6	-
NMC0617	573	641523	23	69.7	-
NMC0618	1053	642122	27	81.8	-
NMC0619	621	643234	25	75.8	-
NMC0620	1281	644076	33	100.0	Y
NMC0621	1035	645903	26	78.8	-
NMC0622	588	647137	13	39.4	-
NMC0623	183	647793	31	93.9	Y
NMC0624	762	647972	30	90.9	Y
NMC0625	402	648756	15	45.5	-
NMC0626	198	649178	13	39.4	-
NMC0627	117	649353	8	24.2	-
NMC0628	828	650009	20	60.6	-
NMC0629	879	650867	30	90.9	Y
NMC0630	624	651805	18	54.5	-
NMC0631	225	652525	18	54.5	-
NMC0632	606	652750	11	33.3	-
NMC0633	1035	653415	33	100.0	Y
NMC0634	426	654813	30	90.9	Y
NMC0635	477	655316	31	93.9	Y
NMC0636	324	655839	24	72.7	-
NMC0637	804	656245	20	60.6	-
NMC0638	924	657095	33	100.0	Y
NMC0639	627	659053	15	45.5	-
NMC0640	492	659738	32	97.0	Y
NMC0641	1545	660329	33	100.0	Y
NMC0642	498	662185	12	36.4	-
NMC0643	999	662675	12	36.4	-
NMC0644	1275	663686	32	97.0	Y
NMC0645	441	664992	12	36.4	-
NMC0646	375	665437	31	93.9	Y
NMC0647	750	665869	33	100.0	Y
NMC0648	780	666770	33	100.0	Y
NMC0649	717	667740	22	66.7	-
NMC0650	1203	668641	33	100.0	Y
NMC0651	4707	670022	2	6.1	-
NMC0652	2076	676012	22	66.7	-
NMC0653	804	678145	29	87.9	-
NMC0654	1125	678947	32	97.0	Y
NMC0655	993	680223	20	60.6	-
NMC0656	780	681777	21	63.6	-
NMC0657	480	682608	12	36.4	-
NMC0658	999	683089	21	63.6	-
NMC0659	420	684208	23	69.7	-
NMC0660	567	684652	16	48.5	-
NMC0661	885	685302	18	54.5	-
NMC0663	873	686670	33	100.0	Y
NMC0664	1545	687797	31	93.9	Y
NMC0665	756	689375	9	27.3	-
NMC0666	321	690326	2	6.1	-
NMC0667	291	690799	10	30.3	-
NMC0668	402	691152	13	39.4	-
NMC0669	1011	691745	23	69.7	-
NMC0671	1116	692837	33	100.0	Y
NMC0672	1947	694227	33	100.0	Y
NMC0673	522	696191	33	100.0	Y
NMC0674	198	696859	33	100.0	Y
NMC0675	360	697069	33	100.0	Y
NMC0676	1098	697669	33	100.0	Y
NMC0678	447	699090	8	24.2	-
NMC0679	1152	699550	2	6.1	-
NMC0680	1056	700673	2	6.1	-
NMC0681	2364	701783	32	97.0	Y
NMC0682	303	704220	30	90.9	Y
NMC0683	291	704524	13	39.4	-
NMC0684	486	705144	18	54.5	-
NMC0684A	282	705844	8	24.2	-
NMC0685	1302	706341	16	48.5	-
NMC0686	648	707639	15	45.5	-
NMC0687	525	708253	12	36.4	-
NMC0688	891	708807	27	81.8	-
NMC0689	450	709882	19	57.6	-
NMC0690	963	710335	33	100.0	Y
NMC0691	855	711278	18	54.5	-
NMC0692	942	712213	33	100.0	Y
NMC0693	603	713255	30	90.9	Y
NMC0694	1674	714041	31	93.9	Y
NMC0695	1620	716796	16	48.5	-
NMC0696	369	718535	14	42.4	-
NMC0697	738	718946	33	100.0	Y
NMC0698	480	719903	12	36.4	-
NMC0699	495	720507	17	51.5	-
NMC0700	375	721011	15	45.5	-
NMC0701	567	721439	12	36.4	-
NMC0702	294	722089	27	81.8	-
NMC0703	951	722511	27	81.8	-
NMC0704	504	723707	24	72.7	-
NMC0705	876	724262	22	66.7	-
NMC0706	201	725309	16	48.5	-
NMC0707	234	725675	20	60.6	-
NMC0708	864	726383	14	42.4	-
NMC0709	1050	727259	33	100.0	Y
NMC0710	2136	728530	33	100.0	Y
NMC0711	669	730737	17	51.5	-
NMC0712	321	731419	12	36.4	-
NMC0713	852	731852	20	60.6	-
NMC0714	606	732700	12	36.4	-
NMC0715	987	733445	32	97.0	Y
NMC0717	981	734868	23	69.7	-
NMC0718	1020	736262	15	45.5	-
NMC0719	1794	737424	33	100.0	Y
NMC0720	756	739360	26	78.8	-
NMC0721	1113	740247	29	87.9	-
NMC0722	978	741394	14	42.4	-
NMC0723	351	742375	13	39.4	-
NMC0724	780	742730	26	78.8	-
NMC0726	312	743851	29	87.9	-
NMC0727	627	744268	30	90.9	Y
NMC0728	321	744917	15	45.5	-
NMC0729	423	745640	12	36.4	-
NMC0730	753	746089	15	45.5	-
NMC0731	1335	746856	20	60.6	-
NMC0732	1218	748187	15	45.5	-
NMC0733	1065	749479	33	100.0	Y
NMC0734	1395	750706	33	100.0	Y
NMC0735	480	752375	19	57.6	-
NMC0736	444	752986	13	39.4	-
NMC0737	3615	753384	12	36.4	-
NMC0738	1119	757231	21	63.6	-
NMC0739	828	758424	23	69.7	-
